college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score
Northern Maine Community College,"Presque Isle, ME",2-year,Public,Small,Urban,Unknown,$9K,Unknown
Mesalands Community College,"Tucumcari, NM",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
San Diego Miramar College,"San Diego, CA",2-year,Public,Unknown,Suburban,Unknown,$9K,Unknown
Delgado Community College,"New Orleans, LA",2-year,Public,Unknown,Urban,Unknown,$9K,Unknown
Butte Academy Of Beauty Culture,"Butte, MT",Less than 2-year,Unknown,Unknown,Rural,Unknown,$9K,Unknown
Oak Hills Christian College,"Bemidji, MN",4-year,Private,Unknown,Rural,55%,$21K,Unknown
Clark College,"Vancouver, WA",4-year,Public,Unknown,Urban,Unknown,$9K,Unknown
Mountwest Community And Technical College,"Huntington, WV",Unknown,Public,Unknown,Suburban,Unknown,$9K,Unknown
Parkland College,"Champaign, IL",2-year,Public,Unknown,Suburban,Unknown,$9K,Unknown
Salina Area Technical College,"Salina, KS",Unknown,Public,Unknown,Rural,Unknown,$9K,Unknown
Owens Community College,"Perrysburg, OH",2-year,Public,Unknown,Suburban,Unknown,$9K,Unknown
City University of New York: Hostos Community College,"Bronx, NY",2-year,Public,Unknown,Urban,Unknown,$9K,Unknown
Morton College,"Cicero, IL",2-year,Public,Small,Suburban,Unknown,$9K,Unknown
Southwestern Oregon Community College,"Coos Bay, OR",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
University of Southern California,"Los Angeles, CA",4-year,Private,Very Large,Urban,92%,$37K,1450-1530
Gerbers Akron Beauty School,"Akron, OH",Less than 2-year,Unknown,Unknown,Urban,Unknown,$9K,Unknown
Shelton State Community College,"Tuscaloosa, AL",2-year,Public,Unknown,Suburban,Unknown,$9K,Unknown
Lane Community College,"Eugene, OR",2-year,Public,Unknown,Suburban,Unknown,$9K,Unknown
American Hair Academy,"Mount Pleasant, IA",Unknown,Unknown,Unknown,Rural,Unknown,$9K,Unknown
Rogue Community College,"Grants Pass, OR",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
California Barber And Beauty College,"San Diego, CA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$9K,Unknown
College of Eastern Idaho,"Idaho Falls, ID",2-year,Public,Small,Suburban,Unknown,$9K,Unknown
New Mexico State University at Grants,"Grants, NM",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
Rhode Island School Of Design,"Providence, RI",4-year,Private,Small,Urban,91%,$40K,1390-1520
Glendale Community College,"Glendale, CA",2-year,Public,Unknown,Urban,Unknown,$9K,Unknown
Southwestern Community College,"Sylva, NC",2-year,Public,Small,Rural,Unknown,$9K,Unknown
Hill College,"Hillsboro, TX",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
Victory Career College,"Torrance, CA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$9K,Unknown
Bakersfield College,"Bakersfield, CA",4-year,Public,Unknown,Suburban,Unknown,$9K,Unknown
Martin University,"Indianapolis, IN",4-year,Private,Unknown,Urban,29%,$15K,Unknown
Midwives College Of Utah,"Salt Lake City, UT",4-year,Private,Unknown,Urban,Unknown,$28K,Unknown
Lehigh Valley Barber School,"Bethlehem, PA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$9K,Unknown
Dermal Science International Aesthetics And Nail Academy,"Reston, VA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$9K,Unknown
Great Lakes Christian College,"Lansing, MI",4-year,Private,Unknown,Suburban,32%,$16K,Unknown
Gavilan College,"Gilroy, CA",2-year,Public,Medium,Rural,Unknown,$9K,Unknown
Brookdale Community College,"Lincroft, NJ",2-year,Public,Unknown,Suburban,Unknown,$9K,Unknown
Estelle Medical Academy,"Skokie, IL",Less than 2-year,Unknown,Unknown,Urban,Unknown,$9K,Unknown
Walla Walla Community College,"Walla Walla, WA",4-year,Public,Unknown,Rural,Unknown,$9K,Unknown
Central Texas Beauty College-Temple,"Temple, TX",Less than 2-year,Unknown,Unknown,Urban,Unknown,$9K,Unknown
Umpqua Community College,"Roseburg, OR",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
Butler Beauty Academy New Castle,"New Castle, PA",Less than 2-year,Unknown,Unknown,Rural,Unknown,$9K,Unknown
Tiffin Academy Of Hair Design,"Tiffin, OH",Less than 2-year,Unknown,Unknown,Rural,Unknown,$9K,Unknown
Academy of Interactive Entertainment Lafayette,"Lafayette, LA",Unknown,Unknown,Unknown,Urban,Unknown,$28K,Unknown
Paul Mitchell The School Raleigh,"Raleigh, NC",Less than 2-year,Unknown,Unknown,Urban,Unknown,$9K,Unknown
James A. Rhodes State College,"Lima, OH",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
EDP School,"Brooklyn, NY",Less than 2-year,Unknown,Unknown,Urban,Unknown,$9K,Unknown
Rosedale Bible College,"Irwin, OH",2-year,Private,Unknown,Rural,Unknown,$9K,Unknown
Massasoit Community College,"Brockton, MA",2-year,Public,Unknown,Urban,Unknown,$9K,Unknown
Academia Serrant Inc,"Ponce, PR",Less than 2-year,Unknown,Unknown,Urban,Unknown,$9K,Unknown
Copper Mountain College,"Joshua Tree, CA",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
Bladen Community College,"Dublin, NC",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
Grand Rapids Community College,"Grand Rapids, MI",2-year,Public,Large,Urban,Unknown,$9K,Unknown
University Of Hawaii Windward Community College,"Kaneohe, HI",2-year,Public,Unknown,Suburban,Unknown,$9K,Unknown
Barton County Community College,"Great Bend, KS",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
Bergen Community College,"Paramus, NJ",2-year,Public,Unknown,Suburban,Unknown,$9K,Unknown
Southern Maine Community College,"South Portland, ME",2-year,Public,Medium,Suburban,Unknown,$9K,Unknown
Williston State College,"Williston, ND",2-year,Public,Small,Rural,Unknown,$9K,Unknown
Seward County Community College,"Liberal, KS",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
Whatcom Community College,"Bellingham, WA",4-year,Public,Unknown,Suburban,Unknown,$9K,Unknown
Remington College Memphis,"Memphis, TN",4-year,Private,Unknown,Urban,71%,$25K,Unknown
United Beauty College,"Denver, CO",Less than 2-year,Unknown,Unknown,Urban,Unknown,$9K,Unknown
Wichita State University Campus Of Applied Sciences And Technology,"Wichita, KS",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
The Salon Professional Academy Appleton,"Appleton, WI",Unknown,Unknown,Unknown,Suburban,Unknown,$9K,Unknown
University of Arkansas: Community College at Batesville,"Batesville, AR",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
Allen County Community College,"Iola, KS",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
Miami University: Middletown,"Middletown, OH",4-year,Public,Unknown,Suburban,19%,$13K,Unknown
New England Conservatory Of Music,"Boston, MA",4-year,Private,Small,Urban,82%,$53K,Unknown
St. Thomas University,"Fredericton, Canada",4-year,Unknown,Small Graduation rate not available Average annual cost after aid not available SAT score range not available,Unknown,Unknown,Unknown,Unknown
Los Angeles Southwest College,"Los Angeles, CA",2-year,Public,Unknown,Urban,Unknown,$9K,Unknown
Columbia College,"Sonora, CA",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
Mid-America Christian University,"Oklahoma City, OK",4-year,Private,Unknown,Suburban,31%,$16K,Unknown
Phagans School Of Beauty,"Salem, OR",Unknown,Unknown,Unknown,Suburban,Unknown,$9K,Unknown
Waukesha County Technical College,"Pewaukee, WI",2-year,Public,Medium,Suburban,Unknown,$9K,Unknown
Lakeshore Technical College,"Cleveland, WI",2-year,Public,Small,Rural,Unknown,$9K,Unknown
South Piedmont Community College,"Polkton, NC",2-year,Public,Small,Suburban,Unknown,$9K,Unknown
Moraine Park Technical College,"Fond Du Lac, WI",2-year,Public,Unknown,Suburban,Unknown,$9K,Unknown
Cape Cod Community College,"West Barnstable, MA",2-year,Public,Small,Suburban,Unknown,$9K,Unknown
Weatherford College,"Weatherford, TX",4-year,Public,Unknown,Suburban,Unknown,$9K,Unknown
Eastern Maine Community College,"Bangor, ME",2-year,Public,Unknown,Urban,Unknown,$9K,Unknown
Milwaukee Area Technical College,"Milwaukee, WI",2-year,Public,Unknown,Urban,Unknown,$9K,Unknown
Highland Community College,"Highland, KS",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
American InterContinental University,"Chandler, AZ",4-year,Private,Unknown,Rural,20%,$14K,Unknown
Studio Jewelers,"New York, NY",Less than 2-year,Unknown,Unknown,Urban,Unknown,$9K,Unknown
Jefferson State Community College,"Birmingham, AL",2-year,Public,Medium,Suburban,Unknown,$9K,Unknown
Lane College,"Jackson, TN",4-year,Private,Unknown,Urban,18%,$13K,Unknown
Mid-State Technical College,"Wisconsin Rapids, WI",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
Shoreline Community College,"Shoreline, WA",2-year,Public,Unknown,Suburban,Unknown,$9K,Unknown
Huntington Junior College,"Huntington, WV",2-year,Private,Unknown,Suburban,Unknown,$9K,Unknown
Arizona Western College,"Yuma, AZ",2-year,Public,Medium,Suburban,Unknown,$9K,Unknown
Skagit Valley College,"Mount Vernon, WA",4-year,Public,Unknown,Rural,Unknown,$9K,Unknown
San Bernardino Valley College,"San Bernardino, CA",2-year,Public,Unknown,Urban,Unknown,$9K,Unknown
Aveda Institute Fort Myers,"Fort Myers, FL",Less than 2-year,Unknown,Unknown,Urban,Unknown,$10K,Unknown
Platt College: Aurora,"Aurora, CO",4-year,Private,Small,Suburban,Unknown,$38K,Unknown
Minnesota North College,"Hibbing, MN",2-year,Public,Small,Rural,Unknown,$10K,Unknown
Franklin University,"Columbus, OH",4-year,Private,Unknown,Urban,43%,$19K,Unknown
Northeastern Oklahoma Agricultural and Mechanical College,"Miami, OK",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
College of Marin,"Kentfield, CA",2-year,Public,Unknown,Suburban,Unknown,$10K,Unknown
Lake Michigan College,"Benton Harbor, MI",2-year,Public,Unknown,Suburban,Unknown,$10K,Unknown
Visible Music College,"Memphis, TN",4-year,Private,Unknown,Urban,24%,$24K,Unknown
Northeast Wisconsin Technical College,"Green Bay, WI",2-year,Public,Medium,Suburban,Unknown,$10K,Unknown
Paul Mitchell The School Logan,"Logan, UT",Less than 2-year,Unknown,Unknown,Urban,Unknown,$10K,Unknown
Community College of Philadelphia,"Philadelphia, PA",2-year,Public,Unknown,Urban,Unknown,$10K,Unknown
Polk State College,"Winter Haven, FL",4-year,Public,Medium,Suburban,Unknown,$10K,Unknown
Baton Rouge Community College,"Baton Rouge, LA",2-year,Public,Unknown,Urban,Unknown,$10K,Unknown
South Seattle College,"Seattle, WA",4-year,Public,Unknown,Suburban,Unknown,$10K,Unknown
Laredo CHI Academy Beauty School,"Laredo, TX",Less than 2-year,Unknown,Unknown,Urban,Unknown,$10K,Unknown
Arkansas State University: Newport,"Newport, AR",2-year,Public,Small,Rural,Unknown,$10K,Unknown
Community College of Denver,"Denver, CO",2-year,Public,Unknown,Urban,Unknown,$10K,Unknown
West Hills College: Coalinga,"Coalinga, CA",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Butte College,"Oroville, CA",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Berklee College of Music,"Boston, MA",4-year,Private,Medium,Urban,68%,$47K,Unknown
Yeshivas Novominsk,"Brooklyn, NY",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Wilmington University,"New Castle, DE",4-year,Private,Unknown,Suburban,20%,$14K,Unknown
Lake Washington Institute of Technology,"Kirkland, WA",4-year,Public,Unknown,Suburban,Unknown,$10K,Unknown
Tennessee School Of Beauty Of Knoxville Inc,"Knoxville, TN",Less than 2-year,Unknown,Unknown,Urban,Unknown,$10K,Unknown
Otsego Northern Catskills Board Of Cooperative Educational Services Practical Nu...,"Oneonta, NY",Less than 2-year,Unknown,Unknown,Rural,Unknown,$10K,Unknown
United States Military Academy,"West Point, NY",4-year,Public,Medium,Suburban,88%,Unknown,Unknown
Halifax Community College,"Weldon, NC",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Rock Valley College,"Rockford, IL",2-year,Public,Medium,Suburban,Unknown,$10K,Unknown
Green River College,"Auburn, WA",4-year,Public,Medium,Suburban,Unknown,$10K,Unknown
Northwood Technical College,"Rice Lake, WI",2-year,Public,Small,Rural,Unknown,$10K,Unknown
Red Rocks Community College,"Lakewood, CO",4-year,Public,Unknown,Suburban,Unknown,$10K,Unknown
Stylemaster College Of Hair Design,"Longview, WA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$10K,Unknown
Blue Ridge Community College,"Weyers Cave, VA",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Springfield Technical Community College,"Springfield, MA",2-year,Public,Medium,Urban,Unknown,$10K,Unknown
University Of Hawaii Hawaii Community College,"Hilo, HI",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Tennessee College Of Applied Technology Pulaski,"Pulaski, TN",Unknown,Unknown,Unknown,Rural,Unknown,$10K,Unknown
Riverland Community College,"Austin, MN",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Northcentral Technical College,"Wausau, WI",2-year,Public,Unknown,Suburban,Unknown,$10K,Unknown
Reading Area Community College,"Reading, PA",2-year,Public,Unknown,Urban,Unknown,$10K,Unknown
Cheeks Beauty Academy,"Cheyenne, WY",Less than 2-year,Unknown,Unknown,Urban,Unknown,$10K,Unknown
Rend Lake College,"Ina, IL",2-year,Public,Small,Rural,Unknown,$10K,Unknown
Morgan Community College,"Fort Morgan, CO",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Neosho County Community College,"Chanute, KS",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Mineral Area College,"Park Hills, MO",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
The Institute Of Beauty And Wellness Milwaukee,"Milwaukee, WI",Less than 2-year,Unknown,Unknown,Urban,Unknown,$10K,Unknown
Tennessee College Of Applied Technology Jackson,"Jackson, TN",Unknown,Unknown,Unknown,Suburban,Unknown,$10K,Unknown
Allegany College of Maryland,"Cumberland, MD",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Capri College Cedar Rapids,"Cedar Rapids, IA",Unknown,Unknown,Unknown,Urban,Unknown,$10K,Unknown
Dakota College at Bottineau,"Bottineau, ND",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Barstow Community College,"Barstow, CA",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Paul Mitchell The School Costa Mesa,"Costa Mesa, CA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$10K,Unknown
Wenatchee Valley College,"Wenatchee, WA",4-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Southwestern Community College,"Creston, IA",2-year,Public,Small,Rural,Unknown,$10K,Unknown
LaSalle Tech,"Houma, LA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$10K,Unknown
Centralia Beauty College,"Centralia, WA",Less than 2-year,Unknown,Unknown,Rural,Unknown,$10K,Unknown
Cecil College,"North East, MD",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
North Hennepin Community College,"Minneapolis, MN",2-year,Public,Medium,Suburban,Unknown,$10K,Unknown
Yakima Valley College,"Yakima, WA",4-year,Public,Unknown,Urban,Unknown,$10K,Unknown
North Seattle College,"Seattle, WA",4-year,Public,Unknown,Urban,Unknown,$10K,Unknown
Central Ohio Technical College,"Newark, OH",2-year,Public,Small,Suburban,Unknown,$10K,Unknown
Bay De Noc Community College,"Escanaba, MI",2-year,Public,Small,Rural,Unknown,$10K,Unknown
Northern Virginia Community College,"Annandale, VA",2-year,Public,Unknown,Suburban,Unknown,$10K,Unknown
Navarro College,"Corsicana, TX",2-year,Public,Medium,Rural,Unknown,$10K,Unknown
American Institute Of Beauty,"Largo, FL",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$10K,Unknown
South Louisiana Community College,"Lafayette, LA",2-year,Public,Unknown,Suburban,Unknown,$10K,Unknown
Salem Community College,"Penns Grove, NJ",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Portland Community College,"Portland, OR",2-year,Public,Unknown,Urban,Unknown,$10K,Unknown
Northeast Community College,"Norfolk, NE",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Big Bend Community College,"Moses Lake, WA",4-year,Public,Small,Rural,Unknown,$10K,Unknown
Trend Setters School,"Cape Girardeau, MO",Less than 2-year,Unknown,Unknown,Urban,Unknown,$10K,Unknown
Northeastern University,"Boston, MA",4-year,Private,Very Large,Urban,91%,$36K,1450-1520
Ellsworth Community College,"Iowa Falls, IA",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Butler Beauty Academy,"Butler, PA",Less than 2-year,Unknown,Unknown,Rural,Unknown,$10K,Unknown
Fox Valley Technical College,"Appleton, WI",2-year,Public,Medium,Suburban,Unknown,$10K,Unknown
Ridgewater College,"Willmar, MN",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Santa Rosa Junior College,"Santa Rosa, CA",2-year,Public,Unknown,Suburban,Unknown,$10K,Unknown
Capri College Davenport,"Davenport, IA",Unknown,Unknown,Unknown,Urban,Unknown,$10K,Unknown
St. Augustine College,"Chicago, IL",4-year,Private,Unknown,Urban,Unknown,$10K,Unknown
Chippewa Valley Technical College,"Eau Claire, WI",2-year,Public,Unknown,Urban,Unknown,$10K,Unknown
Flathead Valley Community College,"Kalispell, MT",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Oberlin College,"Oberlin, OH",4-year,Private,Small,Rural,83%,$46K,Unknown
Shasta School Of Cosmetology,"Redding, CA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$10K,Unknown
Tyler Junior College,"Tyler, TX",4-year,Public,Unknown,Urban,Unknown,$10K,Unknown
Ranken Technical College,"Saint Louis, MO",4-year,Private,Unknown,Urban,23%,$15K,Unknown
IBS School Of Cosmetology And Massage,"Kahului, HI",Unknown,Unknown,Unknown,Urban,Unknown,$10K,Unknown
Clatsop Community College,"Astoria, OR",2-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Los Angeles City College,"Los Angeles, CA",2-year,Public,Large,Urban,Unknown,$10K,Unknown
Sussex County Community College,"Newton, NJ",2-year,Public,Unknown,Suburban,Unknown,$10K,Unknown
Grays Harbor College,"Aberdeen, WA",4-year,Public,Unknown,Rural,Unknown,$10K,Unknown
Cascadia College,"Bothell, WA",4-year,Public,Unknown,Suburban,Unknown,$10K,Unknown
Headmasters School Of Hair Design,"Lewiston, ID",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
South Central College,"North Mankato, MN",2-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Arkansas State University: Mountain Home,"Mountain Home, AR",2-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Atlantic Cape Community College,"Mays Landing, NJ",2-year,Public,Unknown,Rural,Unknown,$11K,Unknown
Georgia Military College,"Milledgeville, GA",4-year,Public,Medium,Suburban,Unknown,$11K,Unknown
Smith Chason College WCUI School of Medical Imaging,"Los Angeles, CA",4-year,Private,Unknown,Urban,62%,$24K,Unknown
Lehigh Carbon Community College,"Schnecksville, PA",2-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
South Puget Sound Community College,"Tumwater, WA",2-year,Public,Small,Suburban,Unknown,$11K,Unknown
Dawson Community College,"Glendive, MT",2-year,Public,Small,Rural,Unknown,$11K,Unknown
Georgia Piedmont Technical College,"Clarkston, GA",2-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Kansas City Kansas Community College,"Kansas City, KS",2-year,Public,Medium,Urban,Unknown,$11K,Unknown
Northland Pioneer College,"Holbrook, AZ",2-year,Public,Unknown,Rural,Unknown,$11K,Unknown
Greenfield Community College,"Greenfield, MA",2-year,Public,Unknown,Rural,Unknown,$11K,Unknown
University Of Phoenix,"Phoenix, AZ",4-year,Private,Unknown,Urban,12%,$13K,Unknown
Edmonds College,"Lynnwood, WA",4-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Arkansas Beauty College,"Russellville, AR",Less than 2-year,Unknown,Unknown,Rural,Unknown,$11K,Unknown
Remington College: Shreveport,"Shreveport, LA",4-year,Private,Unknown,Suburban,67%,$25K,Unknown
St. Cloud Technical and Community College,"Saint Cloud, MN",2-year,Public,Unknown,Urban,Unknown,$11K,Unknown
Lake Region State College,"Devils Lake, ND",2-year,Public,Small,Rural,Unknown,$11K,Unknown
National Personal Training Institute Orlando,"Orlando, FL",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$11K,Unknown
University Academy Of Hair Design,"Tuscaloosa, AL",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Elite Academy Of Cosmetology,"Lawton, OK",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Aveda Institute Provo,"Provo, UT",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Delaware County Community College,"Media, PA",2-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Centra College,"Lynchburg, VA",4-year,Private,Unknown,Urban,Unknown,$28K,Unknown
Creviers Academy Of Cosmetology Arts,"Kalispell, MT",Less than 2-year,Unknown,Unknown,Rural,Unknown,$11K,Unknown
Northwest Educational Center,"Houston, TX",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Bryant & Stratton College: Syracuse North,"Liverpool, NY",4-year,Unknown,Small,Suburban,Unknown,$11K,Unknown
Tompkins Cortland Community College,"Dryden, NY",2-year,Public,Small,Rural,Unknown,$11K,Unknown
Hair Academy,"Bismarck, ND",Unknown,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Tennessee College Of Applied Technology Morristown,"Morristown, TN",Unknown,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Protege Academy East Lansing,"East Lansing, MI",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$11K,Unknown
Pittsburgh Institute of Mortuary Science,"Pittsburgh, PA",2-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Park Place Premier Barber School,"New Orleans, LA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Foothill College,"Los Altos Hills, CA",4-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Cloud County Community College,"Concordia, KS",2-year,Public,Small,Rural,Unknown,$11K,Unknown
Lake Tahoe Community College,"South Lake Tahoe, CA",2-year,Public,Unknown,Rural,Unknown,$11K,Unknown
Jay's Technical Institute,"Houston, TX",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Ohio Christian University,"Circleville, OH",4-year,Private,Small,Rural,43%,$20K,Unknown
Piedmont Technical College,"Greenwood, SC",2-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Community College of Vermont,"Montpelier, VT",2-year,Public,Unknown,Rural,Unknown,$11K,Unknown
Bennett Career Institute,"Washington, DC",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Protege Academy Mt Pleasant,"Mount Pleasant, MI",Less than 2-year,Unknown,Unknown,Rural,Unknown,$11K,Unknown
Highline College,"Des Moines, WA",4-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Bull City Durham Beauty And Barber College,"Durham, NC",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Capri College Dubuque,"Dubuque, IA",Unknown,Unknown,Unknown,Urban,Unknown,$11K,Unknown
College Of Hair Design Careers,"Salem, OR",Unknown,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Virginia University of Lynchburg,"Lynchburg, VA",4-year,Private,Unknown,Suburban,27%,$17K,Unknown
Harvey Mudd College,"Claremont, CA",4-year,Private,Small,Suburban,92%,$40K,1480-1560
Morgantown Beauty College Inc,"Morgantown, WV",Unknown,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Hinton Barber And Beauty College,"Vallejo, CA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Stage One The Hair School,"Lake Charles, LA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
University Of Hawaii Kauai Community College,"Lihue, HI",2-year,Public,Unknown,Rural,Unknown,$11K,Unknown
Helena College University of Montana,"Helena, MT",2-year,Public,Unknown,Rural,Unknown,$11K,Unknown
Bryant & Stratton College: Greece,"Rochester, NY",4-year,Private,Small,Suburban,Unknown,$11K,Unknown
North American Trade Schools,"Baltimore, MD",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$11K,Unknown
Pacific College,"Costa Mesa, CA",4-year,Private,Unknown,Urban,Unknown,$26K,Unknown
Dine College,"Tsaile, AZ",4-year,Public,Unknown,Rural,Unknown,$11K,Unknown
Academy Of Hair Design Lufkin,"Lufkin, TX",Less than 2-year,Unknown,Unknown,Rural,Unknown,$11K,Unknown
Everett Community College,"Everett, WA",2-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
M J Murphy Beauty College,"Mount Pleasant, MI",Less than 2-year,Unknown,Unknown,Rural,Unknown,$11K,Unknown
Rockland Community College,"Suffern, NY",2-year,Public,Medium,Suburban,Unknown,$11K,Unknown
Catawba Valley Community College,"Hickory, NC",2-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Center For Employment Training Salinas,"Salinas, CA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Trenz Beauty Academy,"Calumet City, IL",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$11K,Unknown
United States Naval Academy,"Annapolis, MD",4-year,Public,Medium,Suburban,90%,Unknown,Unknown
ASI Career Institute,"Turnersville, NJ",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$11K,Unknown
Lancaster School Of Cosmetology And Therapeutic Bodywork,"Lancaster, PA",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$11K,Unknown
Lassen Community College,"Susanville, CA",2-year,Public,Unknown,Rural,Unknown,$11K,Unknown
Jefferson Community College,"Watertown, NY",2-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Altoona Beauty School Inc,"Altoona, PA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Glendale Community College,"Glendale, AZ",2-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Florida Technical College: Orlando,"Orlando, FL",2-year,Unknown,Unknown,Unknown,17%,$15K,Unknown
Nouvelle Institute,"Miami, FL",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Santa Fe College,"Gainesville, FL",4-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Educators Of Beauty College Of Cosmetology Rockford,"Rockford, IL",Less than 2-year,Unknown,Unknown,Urban,Unknown,$11K,Unknown
Normandale Community College,"Minneapolis, MN",2-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Hennepin Technical College,"Minneapolis, MN",2-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Blue Mountain Community College,"Pendleton, OR",2-year,Public,Unknown,Rural,Unknown,$11K,Unknown
Bellevue College,"Bellevue, WA",4-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Jacksonville College,"Jacksonville, TX",2-year,Private,Unknown,Suburban,Unknown,$11K,Unknown
Columbia Basin College,"Pasco, WA",4-year,Public,Unknown,Suburban,Unknown,$11K,Unknown
Park University,"Parkville, MO",4-year,Private,Medium,Suburban,20%,$16K,Unknown
Otero Junior College,"La Junta, CO",2-year,Public,Unknown,Rural,Unknown,$11K,Unknown
Trident University International,"Cypress, CA",4-year,Private,Unknown,Urban,11%,$14K,Unknown
Anoka-Ramsey Community College,"Minneapolis, MN",2-year,Public,Medium,Suburban,Unknown,$12K,Unknown
Gupton Jones College of Funeral Service,"Decatur, GA",2-year,Private,Unknown,Suburban,Unknown,$12K,Unknown
Phoenix College,"Phoenix, AZ",2-year,Public,Unknown,Urban,Unknown,$12K,Unknown
