college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score,majors
Aquinas College,"Grand Rapids, MI",4-year,Private,Small,Suburban,61%,$19K,1000-1160,"Accounting|Accounting and Finance|Acting|Art History, Criticism and Conservation|Art Teacher Education|Art/Art Studies, General|Athletic Training/Trainer|Bilingual and Multilingual Education|Biochemistry and Molecular Biology|Biology/Biological Sciences, General|Business Administration and Management, General|Business, Management, Marketing, and Related Support Services, Other|Business/Corporate Communications, General|Business/Managerial Economics|Ceramic Arts and Ceramics|Chemistry, General|Chemistry, Other|Child Development|Christian Studies|Community Organization and Advocacy|Computer and Information Sciences, General|Conducting|Creative Writing|Data Modeling/Warehousing and Database Administration|Directing and Theatrical Production|Drama and Dramatics/Theater Arts, General|Dramatic/Theatre Arts and Stagecraft, Other|Drawing|Early Childhood Education and Teaching|Economics, General|Education, General|Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments|Education/Teaching of Individuals with Specific Learning Disabilities|Educational/Instructional Technology|Elementary Education and Teaching|English Language and Literature, General|English/Language Arts Teacher Education|Environmental Science|Environmental Studies|Exercise Science and Kinesiology|Fine and Studio Arts Management|Fine/Studio Arts, General|French Language and Literature|Geography|German Language and Literature|Health Services/Allied Health/Health Sciences, General|Health/Medical Preparatory Programs, Other|History, General|Human Resources Management/Personnel Administration, General|Humanities/Humanistic Studies|International Business/Trade/Commerce|International Relations and Affairs|International/Globalization Studies|Japanese Language and Literature|Jazz/Jazz Studies|Journalism|Language Interpretation and Translation|Liberal Arts and Sciences/Liberal Studies|Management Information Systems, General|Mathematics, General|Mental Health Counseling/Counselor|Music Management|Music Performance, General|Music Teacher Education|Music, General|Painting|Philosophy|Photography|Physical Education Teaching and Coaching|Physical Fitness Technician|Physics, General|Political Science and Government, General|Printmaking|Psychology, General|Reading Teacher Education|Religion/Religious Studies|Religious/Sacred Music|Science Teacher Education/General Science Teacher Education|Sculpture|Secondary Education and Teaching|Social Sciences, General|Social Studies Teacher Education|Sociology|Spanish Language Teacher Education|Spanish Language and Literature|Speech Communication and Rhetoric|Sport and Fitness Administration/Management|Sports, Kinesiology, and Physical Education/Fitness, General|Sustainability Studies|Teaching English as a Second or Foreign Language/ESL Language Instructor|Technical Theater/Theater Design and Technology|Theatre/Theatre Arts Management|Theology/Theological Studies|Urban Studies/Affairs|Women's Studies|Writing, General"
Rasmussen University North Dakota,"Fargo, ND",4-year,Private,Unknown,Suburban,100%,$17K,Unknown,"Accounting|Accounting Technology/Technician and Bookkeeping|Business Administration and Management, General|Clinical/Medical Laboratory Technician|Community Health and Preventive Medicine|Computer Science|Computer Software Engineering|Computer and Information Systems Security/Auditing/Information Assurance|Criminal Justice/Police Science|Early Childhood Education and Teaching|Educational Leadership and Administration, General|Executive Assistant/Executive Secretary|Finance, General|Graphic Design|Health Information/Medical Records Administration/Administrator|Health Information/Medical Records Technology/Technician|Health Services/Allied Health/Health Sciences, General|Health/Health Care Administration/Management|Human Resources Management/Personnel Administration, General|Human Services, General|Information Science/Studies|Legal Assistant/Paralegal|Licensed Practical/Vocational Nurse Training|Logistics, Materials, and Supply Chain Management|Management Information Systems, General|Management Science|Marketing/Marketing Management, General|Medical Administrative/Executive Assistant and Medical Secretary|Medical Insurance Coding Specialist/Coder|Medical Office Management/Administration|Medical/Clinical Assistant|Network and System Administration/Administrator|Nursing Assistant/Aide and Patient Care Assistant/Aide|Nursing Practice|Pharmacy Technician/Assistant|Physical Therapy Assistant|Radiologic Technology/Science - Radiographer|Registered Nursing/Registered Nurse|Surgical Technology/Technologist|Web/Multimedia Management and Webmaster"
University of Kansas,"Lawrence, KS",4-year,Public,Very Large,Suburban,67%,$19K,1090-1280,"Accounting|Adult Health Nurse/Nursing|Advanced Legal Research/Studies, General|Aerospace, Aeronautical, and Astronautical/Space Engineering, General|African Studies|American Indian/Native American Studies|American Sign Language (ASL)|American/U.S. Law/Legal Studies/Jurisprudence|American/United States Studies/Civilization|Ancient Studies/Civilization|Anthropology|Applied Linguistics|Applied Statistics, General|Architectural Engineering|Architectural History and Criticism, General|Architectural and Building Sciences/Technology|Architecture|Art History, Criticism and Conservation|Art Teacher Education|Astronomy|Athletic Training/Trainer|Atmospheric Sciences and Meteorology, General|Audiology/Audiologist|Behavioral Sciences|Biochemistry|Biochemistry and Molecular Biology|Bioengineering and Biomedical Engineering|Bioinformatics|Biological and Physical Sciences|Biology/Biological Sciences, General|Biostatistics|Biotechnology|Botany/Plant Biology|Business Administration and Management, General|Business/Commerce, General|Cardiovascular Technology/Technologist|Cell Biology and Anatomy|Cell/Cellular and Molecular Biology|Chemical Engineering|Chemistry, General|City/Urban, Community, and Regional Planning|Civil Engineering, General|Classics and Classical Languages, Literatures, and Linguistics, General|Clinical Child Psychology|Clinical Laboratory Science/Medical Technology/Technologist|Clinical, Hospital, and Managed Care Pharmacy|Communication Disorders Sciences and Services, Other|Communication Sciences and Disorders, General|Communication, General|Community Health Services/Liaison/Counseling|Comprehensive Transition and Postsecondary (CTP) Program|Computational Biology|Computer Engineering, General|Computer and Information Sciences, General|Construction Management, General|Counseling Psychology|Creative Writing|Curriculum and Instruction|Cytotechnology/Cytotechnologist|Dance, General|Data Science, General|Design and Applied Arts, Other|Design and Visual Communications, General|Developmental and Child Psychology|Diagnostic Medical Sonography/Sonographer and Ultrasound Technician|Dietetics and Clinical Nutrition Services, Other|Dietetics/Dietitian|Digital Communication and Media/Multimedia|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|East Asian Languages, Literatures, and Linguistics, General|East Asian Studies|Ecology and Evolutionary Biology|Econometrics and Quantitative Economics|Economics, General|Education/Teaching of Individuals with Autism|Educational Administration and Supervision, Other|Educational Leadership and Administration, General|Educational Psychology|Educational/Instructional Technology|Electrical and Computer Engineering|Electrical and Electronics Engineering|Elementary Education and Teaching|Engineering Physics/Applied Physics|Engineering Science|Engineering, Other|Engineering/Industrial Management|English Language and Literature, General|Entomology|Entrepreneurship/Entrepreneurial Studies|Environmental Studies|Environmental/Environmental Health Engineering|Epidemiology|European Studies/Civilization|Exercise Science and Kinesiology|Family Practice Nurse/Nursing|Film/Cinema/Media Studies|Finance, General|Fine/Studio Arts, General|French Language and Literature|General Studies|Geographic Information Science and Cartography|Geography|Geography and Environmental Studies|Geology/Earth Science, General|German Studies|Germanic Languages, Literatures, and Linguistics, General|Gerontology|Health Information/Medical Records Administration/Administrator|Health Policy Analysis|Health Professions Education|Health Services/Allied Health/Health Sciences, General|Health/Medical Preparatory Programs, Other|Higher Education/Higher Education Administration|History, General|Homeland Security|Hospital and Health Care Facilities Administration/Management|Human Biology|Humanities/Humanistic Studies|Industrial and Product Design|Information Technology|Insurance|Intelligence, General|Intercultural/Multicultural and Diversity Studies|Interior Architecture|International Business/Trade/Commerce|International/Globalization Studies|Jewish/Judaic Studies|Journalism|Latin American Studies|Latin American and Caribbean Studies|Law|Legal Professions and Studies, Other|Legal Research and Advanced Professional Studies, Other|Legal Studies|Liberal Arts and Sciences/Liberal Studies|Linguistics|Logistics, Materials, and Supply Chain Management|Management Information Systems, General|Management Science|Marketing/Marketing Management, General|Mass Communication/Media Studies|Mathematics, General|Mechanical Engineering|Medical Informatics|Medical Microbiology and Bacteriology|Medicinal and Pharmaceutical Chemistry|Medicine|Medieval and Renaissance Studies|Microbiology, General|Molecular Biology|Multi-/Interdisciplinary Studies, Other|Museology/Museum Studies|Music Teacher Education|Music Therapy/Therapist|Music, General|Neuroscience|Nuclear Medical Technology/Technologist|Nurse Anesthetist|Nurse Midwife/Nursing Midwifery|Nursing Education|Nursing Practice|Nursing Science|Nutrition Sciences|Occupational Therapy/Therapist|Oncology and Cancer Biology|Organizational Communication, General|Organizational Leadership|Pathology/Experimental Pathology|Petroleum Engineering|Pharmaceutics and Drug Design|Pharmacology|Pharmacology and Toxicology|Pharmacy|Philosophy|Physical Education Teaching and Coaching|Physical Therapy/Therapist|Physics, General|Physiology, General|Political Science and Government, General|Project Management|Psychiatric/Mental Health Nurse/Nursing|Psychology, General|Public Administration|Public Health, General|Public Health, Other|Reading Teacher Education|Registered Nursing/Registered Nurse|Rehabilitation Science|Rehabilitation and Therapeutic Professions, Other|Religion/Religious Studies|Research and Development Management|Research and Experimental Psychology, Other|Respiratory Care Therapy/Therapist|Russian Studies|School Psychology|Secondary Education and Teaching|Slavic Languages, Literatures, and Linguistics, General|Social Work|Social and Philosophical Foundations of Education|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Speech-Language Pathology/Pathologist|Sport and Fitness Administration/Management|Sports, Kinesiology, and Physical Education/Fitness, General|Statistics, General|Teaching English as a Second or Foreign Language/ESL Language Instructor|Toxicology|Women's Studies"
Auburn University at Montgomery,"Montgomery, AL",4-year,Public,Medium,Urban,36%,$13K,1048-1203,"Accounting|Applied Economics|Art/Art Studies, General|Audiology/Audiologist and Speech-Language Pathology/Pathologist|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Commerce, General|Business/Managerial Economics|Chemistry, General|Clinical/Medical Laboratory Technician|Computer Science|Computer and Information Systems Security/Auditing/Information Assurance|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Economics, General|Educational Leadership and Administration, General|Educational/Instructional Technology|Elementary Education and Teaching|English Language and Literature, General|Entrepreneurship/Entrepreneurial Studies|Environmental Science|Exercise Science and Kinesiology|Finance, General|Foreign Languages and Literatures, General|Geographic Information Science and Cartography|Health/Health Care Administration/Management|History, General|Homeland Security|Human Resources Management/Personnel Administration, General|Information Technology|International Business/Trade/Commerce|Liberal Arts and Sciences/Liberal Studies|Marketing/Marketing Management, General|Mathematics, General|Multi-/Interdisciplinary Studies, General|Nursing Practice|Organizational Leadership|Physical Sciences, General|Political Science and Government, General|Political Science and Government, Other|Professional, Technical, Business, and Scientific Writing|Psychology, General|Public Administration|Registered Nursing/Registered Nurse|Rhetoric and Composition/Writing Studies, Other|Secondary Education and Teaching|Social Sciences, General|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric"
Stevens Institute of Business & Arts,"Saint Louis, MO",4-year,Private,Small,Urban,100%,$18K,Unknown,
Oakland City University,"Oakland City, IN",4-year,Private,Small,Rural,48%,$17K,420-580,"Accounting|Applied Mathematics|Biology/Biological Sciences, General|Business Administration and Management, General|Business Administration, Management and Operations, Other|Communication, General|Criminal Justice/Safety Studies|Digital Arts|Divinity/Ministry|Early Childhood Education and Teaching|Educational Leadership and Administration, General|Elementary Education and Teaching|English Language and Literature, General|General Studies|History, General|Marketing/Marketing Management, General|Non-Profit/Public/Organizational Management|Operations Management and Supervision|Physical Education Teaching and Coaching|Psychology, General|Religion/Religious Studies|Religious/Sacred Music|Secondary Education and Teaching|Special Education and Teaching, General|Sports, Kinesiology, and Physical Education/Fitness, General|Superintendency and Educational System Administration"
Florida Gulf Coast University,"Fort Myers, FL",4-year,Public,Large,Suburban,59%,$11K,1070-1200,"Accounting|Anthropology|Applied Mathematics|Art/Art Studies, General|Athletic Training/Trainer|Biochemistry|Bioengineering and Biomedical Engineering|Biology/Biological Sciences, General|Biotechnology|Business Administration and Management, General|Chemistry, General|Civil Engineering, General|Clinical Laboratory Science/Medical Technology/Technologist|Community Health and Preventive Medicine|Computer Software Engineering|Computer and Information Sciences, General|Construction Engineering Technology/Technician|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Criminalistics and Criminal Science|Curriculum and Instruction|Digital Arts|Digital Communication and Media/Multimedia|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Economics, General|Education, General|Educational Leadership and Administration, General|Elementary Education and Teaching|Engineering, General|English Language and Literature, General|Entrepreneurship/Entrepreneurial Studies|Environmental Science|Environmental Studies|Environmental/Environmental Health Engineering|Exercise Science and Kinesiology|Finance, General|Forensic Science and Technology|Geological and Earth Sciences/Geosciences, Other|Health Services/Allied Health/Health Sciences, General|Health/Health Care Administration/Management|History, General|Hospitality Administration/Management, General|Informatics|Legal Assistant/Paralegal|Liberal Arts and Sciences/Liberal Studies|Logistics, Materials, and Supply Chain Management|Management Information Systems, General|Marketing/Marketing Management, General|Mathematics, General|Multi-/Interdisciplinary Studies, General|Music Performance, General|Music Teacher Education|Music Therapy/Therapist|Nursing Practice|Occupational Therapy/Therapist|Philosophy|Physical Therapy/Therapist|Physician Assistant|Political Science and Government, General|Psychology, General|Public Administration|Public Health, General|Reading Teacher Education|Registered Nursing/Registered Nurse|Resort Management|Secondary Education and Teaching|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Water, Wetlands, and Marine Resources Management"
Coker University,"Hartsville, SC",4-year,Private,Small,Rural,42%,$19K,940-1160,"Accounting|Acting|Actuarial Science|Art Teacher Education|Biological and Physical Sciences|Biology Teacher Education|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Commerce, General|Chemistry, General|Clinical Laboratory Science/Medical Technology/Technologist|Computer Science|Counseling Psychology|Criminology|Curriculum and Instruction|Dance, General|Dance, Other|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Education, General|Elementary Education and Teaching|English Language and Literature, General|English/Language Arts Teacher Education|Entrepreneurship/Entrepreneurial Studies|Exercise Science and Kinesiology|Financial Planning and Services|Fine/Studio Arts, General|General Studies|Graphic Design|Health/Health Care Administration/Management|History, General|Humanities/Humanistic Studies|Keyboard Instruments|Management Science|Mathematics Teacher Education|Mathematics, General|Multi-/Interdisciplinary Studies, General|Music Teacher Education|Music, General|Music, Other|Musical Theatre|Nursing Administration|Nursing Education|Organizational Leadership|Parks, Recreation, Leisure, Fitness, and Kinesiology, Other|Photography|Physical Education Teaching and Coaching|Playwriting and Screenwriting|Political Science and Government, General|Pre-Pharmacy Studies|Professional, Technical, Business, and Scientific Writing|Psychology, General|Public Health, General|Registered Nursing/Registered Nurse|Sales, Distribution, and Marketing Operations, General|Social Studies Teacher Education|Social Work|Sociology|Spanish Language and Literature|Speech Communication and Rhetoric|Sport and Fitness Administration/Management|Sports, Kinesiology, and Physical Education/Fitness, General|Sports, Kinesiology, and Physical Education/Fitness, Other|Teacher Education and Professional Development, Specific Levels and Methods, Other|Technical Theater/Theater Design and Technology|Voice and Opera"
The Citadel,"Charleston, SC",4-year,Public,Small,Urban,70%,$22K,1100-1260,"Accounting|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Commerce, General|Chemistry, General|Civil Engineering, General|Computer Engineering, General|Computer Science|Computer Software Engineering|Computer and Information Sciences, General|Computer and Information Systems Security/Auditing/Information Assurance|Construction Engineering|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Law Enforcement Administration|Educational Leadership and Administration, General|Educational/Instructional Technology|Electrical and Electronics Engineering|Engineering/Industrial Management|English Language and Literature, General|Exercise Science and Kinesiology|Finance, General|Foreign Languages and Literatures, General|Higher Education/Higher Education Administration|History, General|Intelligence, General|Junior High/Intermediate/Middle School Education and Teaching|Logistics, Materials, and Supply Chain Management|Marketing/Marketing Management, General|Mathematics, General|Mechanical Engineering|Military History|Organizational Leadership|Physical Education Teaching and Coaching|Physics, General|Political Science and Government, General|Psychology, General|Reading Teacher Education|Registered Nursing/Registered Nurse|School Psychology|Secondary Education and Teaching|Social Sciences, General|Spanish Language and Literature|Sport and Fitness Administration/Management|Structural Engineering|Teacher Education and Professional Development, Specific Levels and Methods, Other|Transportation and Highway Engineering"
Holy Family University,"Philadelphia, PA",4-year,Private,Small,Suburban,58%,$12K,880-1170,"Accounting|Art Teacher Education|Art/Art Studies, General|Biochemistry|Biology Teacher Education|Biology/Biological Sciences, General|Business Administration and Management, General|Business, Management, Marketing, and Related Support Services, Other|Clinical Laboratory Science/Medical Technology/Technologist|Computer Programming, Specific Applications|Computer and Information Sciences, General|Computer and Information Systems Security/Auditing/Information Assurance|Corrections and Criminal Justice, Other|Counseling Psychology|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Curriculum and Instruction|Cyber/Computer Forensics and Counterterrorism|Digital Communication and Media/Multimedia|Early Childhood Education and Teaching|Education, General|Education/Teaching of Individuals in Early Childhood Special Education Programs|Education/Teaching of Individuals with Autism|Educational Administration and Supervision, Other|Educational Leadership and Administration, General|Educational/Instructional Technology|English Language and Literature, General|English/Language Arts Teacher Education|Family Practice Nurse/Nursing|Financial Forensics and Fraud Investigation|Fine/Studio Arts, General|Fire Services Administration|General Studies|Graphic Communications, General|Graphic Design|Health and Wellness, General|History Teacher Education|History, General|Human Resources Management/Personnel Administration, General|Humanities/Humanistic Studies|Management Information Systems, General|Management Science|Mathematics Teacher Education|Mathematics, General|Neuroscience|Nursing Practice|Organizational Leadership|Psychology, General|Public Relations, Advertising, and Applied Communication|Radiologic Technology/Science - Radiographer|Reading Teacher Education|Registered Nursing/Registered Nurse|Religion/Religious Studies|Social Studies Teacher Education|Special Education and Teaching, General|Sport and Fitness Administration/Management|Teacher Education and Professional Development, Specific Levels and Methods, Other|Teacher Education, Multiple Levels|Teaching English as a Second or Foreign Language/ESL Language Instructor"
University of Idaho,"Moscow, ID",4-year,Public,Medium,Rural,61%,$15K,950-1200,"Accounting|Accounting and Business/Management|Adult and Continuing Education and Teaching|Advertising|Agribusiness/Agricultural Business Operations|Agricultural Business and Management, General|Agricultural Communication/Journalism|Agricultural Economics|Agricultural Mechanization, General|Agricultural Mechanization, Other|Agricultural Teacher Education|Agroecology and Sustainable Agriculture|Agronomy and Crop Science|American History (United States)|Animal Physiology|Animal Sciences, General|Animation, Interactive Technology, Video Graphics, and Special Effects|Anthropology|Apparel and Textiles, General|Applied Linguistics|Applied Mathematics|Archeology|Architectural and Building Sciences/Technology|Architecture|Art/Art Studies, General|Athletic Training/Trainer|Atmospheric Chemistry and Climatology|Biochemistry|Bioinformatics|Biological/Biosystems Engineering|Biology/Biological Sciences, General|Biotechnology|Business Administration and Management, General|Business/Managerial Economics|Chemical Engineering|Chemistry, General|City/Urban, Community, and Regional Planning|Civil Engineering, General|Clinical/Medical Laboratory Science and Allied Professions, Other|Computer Engineering, General|Computer Science|Computer and Information Systems Security/Auditing/Information Assurance|Conservation Biology|Creative Writing|Criminology|Crisis/Emergency/Disaster Management|Critical Infrastructure Protection|Crop Production|Curriculum and Instruction|Dance, General|Data Science, General|Dietetics/Dietitian|Digital Communication and Media/Multimedia|Drama and Dramatics/Theater Arts, General|Ecology|Ecology and Evolutionary Biology|Economics, General|Education, General|Educational Leadership and Administration, General|Educational/Instructional Technology|Electrical and Electronics Engineering|Elementary Education and Teaching|Engineering, Other|English Language and Literature, General|English/Language Arts Teacher Education|Entomology|Entrepreneurial and Small Business Operations, Other|Environmental Design/Architecture|Environmental Education|Environmental Science|Environmental/Natural Resources Management and Policy, General|European History|Exercise Physiology and Kinesiology|Exercise Science and Kinesiology|Experimental Psychology|Family and Consumer Sciences/Home Economics Teacher Education|Film/Cinema/Media Studies|Finance, General|Fine/Studio Arts, General|Fire Prevention and Safety Technology/Technician|Fishing and Fisheries Sciences and Management|Food Science|Food Technology and Processing|Foods, Nutrition, and Wellness Studies, General|Foreign Languages and Literatures, General|Forest Management/Forest Resources Management|Forest Sciences and Biology|Forest Technology/Technician|Forestry, General|French Language and Literature|General Studies|Geographic Information Science and Cartography|Geography|Geological/Geophysical Engineering|Geology/Earth Science, General|Health and Wellness, General|History, General|Horticultural Science|Human Development and Family Studies, General|Human Resources Management/Personnel Administration, General|Hydrology and Water Resources Science|Industrial Safety Technology/Technician|Industrial Technology/Technician|Intercultural/Multicultural and Diversity Studies|Interior Architecture|Interior Design|International Relations and Affairs|Journalism|Landscape Architecture|Latin American Studies|Law|Management Information Systems, General|Marketing, Other|Marketing/Marketing Management, General|Materials Engineering|Mathematical Biology|Mathematics, General|Mechanical Engineering|Medicine|Microbiology, General|Molecular Biology|Multi-/Interdisciplinary Studies, Other|Multicultural Education|Music History, Literature, and Theory|Music Management|Music Performance, General|Music Teacher Education|Music Theory and Composition|Music, General|Natural Resources Conservation and Research, Other|Natural Resources and Conservation, Other|Natural Resources/Conservation, General|Neuroscience|Nuclear Engineering|Nutrition Sciences|Operations Management and Supervision|Organizational Communication, General|Organizational Leadership|Parks, Recreation and Leisure Facilities Management|Philosophy|Physical Education Teaching and Coaching|Physics, General|Plant Nursery Operations and Management|Plant Pathology/Phytopathology|Plant Sciences, General|Political Science and Government, General|Professional, Technical, Business, and Scientific Writing|Project Management|Psychology, General|Public Administration|Public Relations/Image Management|Range Science and Management|Research Methodology and Quantitative Methods|Sales, Distribution, and Marketing Operations, General|Science/Technology Management|Secondary Education and Teaching|Signal/Geospatial Intelligence|Sociology|Soil Science and Agronomy, General|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Sports, Kinesiology, and Physical Education/Fitness, General|Statistics, General|Teaching English as a Second or Foreign Language/ESL Language Instructor|Technical Teacher Education|Technology Teacher Education/Industrial Arts Teacher Education|Voice and Opera|Water Resources Engineering|Wildlife, Fish and Wildlands Science and Management|Wood Science and Wood Products/Pulp and Paper Technology/Technician"
Illinois College,"Jacksonville, IL",4-year,Private,Small,Rural,67%,$16K,930-1175,"Accounting|Actuarial Science|Agricultural Business and Management, General|Art/Art Studies, General|Behavioral Neuroscience|Biochemistry|Biology/Biological Sciences, General|Business Administration and Management, General|Chemistry, General|Computer Science|Criminology|Drama and Dramatics/Theater Arts, General|Economics, General|Education, General|Elementary Education and Teaching|Engineering, General|English Language and Literature, General|Environmental Biology|Environmental Studies|Exercise Physiology and Kinesiology|Finance, General|French Language and Literature|German Language and Literature|Health Services/Allied Health/Health Sciences, General|Health/Health Care Administration/Management|History, General|Human Resources Management/Personnel Administration, General|International/Globalization Studies|Japanese Studies|Management Information Systems, General|Management Sciences and Quantitative Methods, Other|Marketing/Marketing Management, General|Mathematics, General|Multi-/Interdisciplinary Studies, Other|Music, General|Organizational Communication, General|Physics, General|Political Science and Government, General|Psychology, General|Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other|Registered Nursing/Registered Nurse|Rhetoric and Composition|Sociology|Spanish Language and Literature|Sport and Fitness Administration/Management|Teacher Education and Professional Development, Specific Levels and Methods, Other"
Youngstown State University,"Youngstown, OH",4-year,Public,Medium,Urban,48%,$12K,940-1160,"Accounting|Adult Health Nurse/Nursing|Advertising|American/United States Studies/Civilization|Anthropology|Art History, Criticism and Conservation|Art Teacher Education|Astronomy|Athletic Training/Trainer|Biochemistry|Biological and Biomedical Sciences, Other|Biology Teacher Education|Biology/Biological Sciences, General|Biomedical Sciences, General|Business Administration and Management, General|Business and Innovation/Entrepreneurship Teacher Education|Business/Commerce, General|Business/Managerial Economics|Chemical Engineering|Chemistry, General|Child Care and Support Services Management|Civil Engineering Technologies/Technicians|Civil Engineering, General|Clinical Laboratory Science/Medical Technology/Technologist|Clinical/Medical Laboratory Technician|Communication, General|Community Organization and Advocacy|Computer Programming/Programmer, General|Computer Science|Computer Teacher Education|Computer and Information Sciences, General|Construction Engineering Technology/Technician|Counselor Education/School Counseling and Guidance Services|Creative Writing|Criminal Justice/Safety Studies|Critical Care Nursing|Curriculum and Instruction|Dance, Other|Data Analytics, General|Dental Hygiene/Hygienist|Dietetic Technician|Dietetics/Dietitian|Drafting and Design Technology/Technician, General|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Economics, General|Education, General|Education, Other|Education/Teaching of Individuals in Early Childhood Special Education Programs|Education/Teaching of the Gifted and Talented|Educational Leadership and Administration, General|Educational Psychology|Electrical and Electronics Engineering|Electrical, Electronic, and Communications Engineering Technology/Technician|Electrical/Electronic Engineering Technologies/Technicians, Other|Elementary Education and Teaching|Emergency Medical Technology/Technician (EMT Paramedic)|Engineering Technologies/Technicians, General|Engineering, General|English Language and Literature, General|English/Language Arts Teacher Education|Entrepreneurship/Entrepreneurial Studies|Environmental Science|Exercise Science and Kinesiology|Family Practice Nurse/Nursing|Family and Community Services|Family and Consumer Sciences/Home Economics Teacher Education|Fashion Merchandising|Finance, General|Fine Arts and Art Studies, Other|Fine/Studio Arts, General|Foreign Language Teacher Education|Forensic Science and Technology|French Language Teacher Education|French Language and Literature|General Literature|General Studies|Geographic Information Science and Cartography|Geography|Geology/Earth Science, General|Gerontology|Health Professions and Related Clinical Sciences, Other|Health Teacher Education|Health/Health Care Administration/Management|Historic Preservation and Conservation, General|History Teacher Education|History, General|Homeland Security|Hospital and Health Care Facilities Administration/Management|Hospitality Administration/Management, General|Human Resources Management/Personnel Administration, General|Industrial Engineering|Information Resources Management|Information Technology|International Business/Trade/Commerce|Italian Language and Literature|Jazz/Jazz Studies|Journalism|Junior High/Intermediate/Middle School Education and Teaching|Liberal Arts and Sciences/Liberal Studies|Linguistics|Logistics, Materials, and Supply Chain Management|Management Information Systems, General|Manufacturing Engineering|Marketing/Marketing Management, General|Materials Science|Mathematics Teacher Education|Mathematics, General|Mechanical Engineering|Mechanical/Mechanical Engineering Technology/Technician|Medical/Clinical Assistant|Molecular Biology|Music History, Literature, and Theory|Music Performance, General|Music Teacher Education|Music Theory and Composition|Music, General|Non-Profit/Public/Organizational Management|Organizational Leadership|Pediatric Nurse/Nursing|Philosophy|Photography|Physical Education Teaching and Coaching|Physical Therapy/Therapist|Physics Teacher Education|Physics, General|Political Science and Government, General|Pre-Law Studies|Professional, Technical, Business, and Scientific Writing|Psychology, General|Psychology, Other|Public Administration|Public Health, General|Quality Control Technology/Technician|Radio and Television|Reading Teacher Education|Registered Nursing/Registered Nurse|Religion/Religious Studies|Respiratory Care Therapy/Therapist|Rhetoric and Composition|School Psychology|Science Teacher Education/General Science Teacher Education|Social Science Teacher Education|Social Sciences, General|Social Studies Teacher Education|Social Work|Sociology|Spanish Language Teacher Education|Spanish Language and Literature|Special Education and Teaching, General|Sports, Kinesiology, and Physical Education/Fitness, General|Teaching English as a Second or Foreign Language/ESL Language Instructor"
